query,iteration,elapsed_time_seconds,power_shard1_watts,power_shard2_watts,power_shard3_watts,power_total_watts,timestamp
Q3_Shipping_Priority,1,0.000,0.022036,0.012963,0.011068,0.046067,2026-01-17T20:07:18.232497
Q3_Shipping_Priority,1,2.407,0.345974,0.319195,0.316887,0.982056,2026-01-17T20:07:20.604513
Q3_Shipping_Priority,1,4.779,0.354139,0.283587,0.277334,0.915061,2026-01-17T20:07:22.955372
Q3_Shipping_Priority,1,7.129,0.307190,0.267518,0.259492,0.834200,2026-01-17T20:07:25.312082
Q3_Shipping_Priority,1,9.486,0.343067,0.272445,0.260882,0.876395,2026-01-17T20:07:27.679008
Q3_Shipping_Priority,1,11.853,0.312445,0.286248,0.266931,0.865625,2026-01-17T20:07:30.029735
Q3_Shipping_Priority,1,14.204,0.364119,0.282622,0.278672,0.925413,2026-01-17T20:07:32.381801
Q3_Shipping_Priority,1,16.556,0.322956,0.255016,0.266489,0.844461,2026-01-17T20:07:34.742945
Q3_Shipping_Priority,1,18.917,0.325110,0.290283,0.287766,0.903160,2026-01-17T20:07:37.100775
Q3_Shipping_Priority,1,21.275,0.315374,0.268795,0.252946,0.837116,2026-01-17T20:07:39.453514
Q3_Shipping_Priority,1,23.628,0.312488,0.272457,0.286360,0.871305,2026-01-17T20:07:41.813024
Q3_Shipping_Priority,1,25.987,0.367916,0.262138,0.259822,0.889875,2026-01-17T20:07:44.187310
Q3_Shipping_Priority,1,28.361,0.324116,0.302005,0.252864,0.878986,2026-01-17T20:07:46.541121
Q3_Shipping_Priority,1,30.715,0.301139,0.282076,0.260944,0.844158,2026-01-17T20:07:48.901533
Q3_Shipping_Priority,1,33.076,0.307201,0.297153,0.295228,0.899582,2026-01-17T20:07:51.264896
Q3_Shipping_Priority,1,35.439,0.357180,0.271573,0.263054,0.891808,2026-01-17T20:07:53.627332
Q3_Shipping_Priority,1,37.801,0.306093,0.281821,0.262339,0.850252,2026-01-17T20:07:55.990837
Q3_Shipping_Priority,1,40.165,0.383260,0.281807,0.288477,0.953544,2026-01-17T20:07:58.354889
Q3_Shipping_Priority,1,42.529,0.314223,0.253661,0.258092,0.825975,2026-01-17T20:08:00.721286
Q3_Shipping_Priority,1,44.895,0.350212,0.251442,0.271789,0.873443,2026-01-17T20:08:03.080651
Q3_Shipping_Priority,1,47.255,0.321765,0.294470,0.256422,0.872657,2026-01-17T20:08:05.442766
Q3_Shipping_Priority,1,49.617,0.300864,0.262242,0.267062,0.830167,2026-01-17T20:08:07.821066
Q3_Shipping_Priority,1,51.995,0.298783,0.273546,0.267357,0.839686,2026-01-17T20:08:10.182379
Q3_Shipping_Priority,1,54.356,0.297360,0.277606,0.255907,0.830873,2026-01-17T20:08:12.552029
Q3_Shipping_Priority,1,56.726,0.358766,0.261630,0.261948,0.882344,2026-01-17T20:08:14.921699
Q3_Shipping_Priority,1,59.096,0.309358,0.256155,0.264732,0.830245,2026-01-17T20:08:17.273085
Q3_Shipping_Priority,1,61.447,0.322979,0.271224,0.296734,0.890937,2026-01-17T20:08:19.644984
Q3_Shipping_Priority,1,63.819,0.303365,0.279152,0.286222,0.868739,2026-01-17T20:08:21.998497
Q3_Shipping_Priority,1,66.173,0.360264,0.268685,0.250751,0.879701,2026-01-17T20:08:24.350268
Q3_Shipping_Priority,1,68.524,0.374705,0.268952,0.264562,0.908219,2026-01-17T20:08:26.720782
Q3_Shipping_Priority,1,70.895,0.274196,0.245040,0.259432,0.778669,2026-01-17T20:08:29.072987
Q3_Shipping_Priority,1,73.247,0.289032,0.274120,0.267308,0.830460,2026-01-17T20:08:31.436632
Q3_Shipping_Priority,1,75.611,0.375235,0.265171,0.265000,0.905406,2026-01-17T20:08:33.804582
Q3_Shipping_Priority,1,77.979,0.296316,0.264788,0.268002,0.829106,2026-01-17T20:08:36.163575
Q3_Shipping_Priority,1,80.338,0.326042,0.273495,0.259075,0.858612,2026-01-17T20:08:38.520293
